 2016-08-23 10:39:16,224 [P37972/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on DESKTOP-JK1B529
 2016-08-23 10:39:16,877 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-08-23 10:39:16,925 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 48ms)
 2016-08-23 10:39:19,960 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-08-23 10:39:22,092 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 2132ms)
 2016-08-23 10:39:22,291 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-08-23 10:39:22,349 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 58ms)
 2016-08-23 10:39:22,351 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-08-23 10:39:22,449 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 98ms)
 2016-08-23 10:39:22,510 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-08-23 10:39:22,538 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 28ms)
 2016-08-23 10:39:22,540 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-08-23 10:39:22,593 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 53ms)
 2016-08-23 10:39:22,770 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-08-23 10:39:22,814 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 44ms)
 2016-08-23 10:39:22,820 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-08-23 10:39:22,856 [P37972/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 36ms)
 2016-08-23 10:39:27,769 [P37972/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-23 10:39:29,028 [P37972/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-23 10:39:29,243 [P37972/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-08-23 10:39:29,413 [P37972/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-08-23 10:39:29,484 [P37972/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-08-23 10:39:29,663 [P37972/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-08-23 10:39:30,232 [P37972/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 14455ms)
 2016-08-23 10:39:34,462 [P37972/D2/T14] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://local.jmncommunications.com.au:80/umbraco (UmbracoModule request)
 2016-08-23 10:39:35,323 [P37972/D2/T14] INFO  umbraco.content - Load Xml from file...
 2016-08-23 10:39:35,332 [P37972/D2/T14] INFO  umbraco.content - Loaded Xml from file.
 2016-08-23 10:39:38,974 [P37972/D2/T14] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-08-23 10:39:39,017 [P37972/D2/T14] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 43ms)
 2016-08-23 10:40:35,768 [P37972/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-08-22 10:40:35
 2016-08-23 10:40:36,125 [P37972/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-08-23 10:40:36,156 [P37972/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 31ms)
